question;reponse;thematiques
Comment ça marche Vendre, étape par étape;"Vendre, étape par étape
Vendre un article, c’est simple et gratuit ! Voilà comment faire :
Mettre en ligne un article.
Ajoute debelles photos de l’article, écris unedescription détaillée,fixe le prix de ton article, choisis unetaille pour le colis .La mise en ligne d’un article est gratuite.Mettre en ligne plus d’un article aide à vendre plus vite.
Configure ton profil.
Paramètre tonporte-monnaie Vinted et faisvérifier ton compte .Sélectionne le transport et les modes de paiement dans tes paramètres. Tu peux également faire une promotion sur ton catalogue.En ajoutant unedescription et une photo sur ton profil , tu renforceras la confiance des autres membres.
Attends les acheteurs.
Sois prêt à répondre aux questions des acheteurs.Clique sur le boutonFaire une offre si tu veux proposer un meilleur prix.Tu seras notifié durant tout le processus d’achat de ton acheteur.
Article vendu : il est temps de l’envoyer.
Emballe ton article (une touche personnelle est toujours appréciée)Envoie l’article avec le mode de livraison choisi par l’acheteur.Suis les instructions de livraison, mais veille bien à envoyer l’article dans les 5 jours après l’achat.En envoyant l’article rapidement, tu ne risques pas de voir ta commande être automatiquement annulée et remboursée.Si l’acheteur a choisi un mode de livraison avec suivi, vous pouvez, ton acheteur et toi, suivre la livraison de l’article au sein même de l’application Vinted.
Reçu ! Laisse une évaluation et reçois ton paiement.
Dès que l’acheteur clique surTout est ok, le statut de ton paiement passe automatiquement àEn cours dans ton porte-monnaie Vinted.Les transferts d’argent peuvent mettre jusqu’à 4 jours ouvrés pour apparaître dans ton compte bancaire (cela peut dépendre du mode/transfert bancaire utilisé).Tu peux maintenant laisser une évaluation pour ton acheteur et dire aux autres membres ce que tu penses.";Comment ça marche Vendre, étape par étape
Comment ça marche Acheter sur Vinted : toutes les étapes;"Acheter sur Vinted : toutes les étapes
Trouve un article qui te plaît
L'icône en forme de cœur te permet de sauvegarder les articles que tu aimes dans tes favoris.Suis tes marques et tes membres préférés, ainsi leurs articles apparaîtront dans ton fil d'actualité. Pour accéder au fil d'actualité ou à l'onglet tendance sur appli, clique simplement sur l'icône en forme de boussole situé sur l'extrémité gauche du menu de navigation.Tu peux filtrer les articles par taille.Utilise les autres filtres de notre catalogue pour trier les articles par marque/couleur/prix, etc.Cliquer surTrier pour organiser les résultats de ta recherche par nouveauté, prix croissant, prix décroissant et cohérence avec l'article recherché.
Contacte le vendeur
Clique surEnvoyer un message.Dans la fenêtre qui s'ouvre, tu peux :Discuter avec le membre.Proposer un autre prix via le boutonFaire une offre.Procéder à l'achat immédiat de l'article.Demander plus d'informations au sujet de l'article.
Achète l'article
Clique surAcheter et procède au paiement de l'article.Lors de ton premier achat, tu devrasentrer les données de ta carte bancaire .Tu peux régler ton achat par carte bancaire via iDEAL ou ton compte PayPal (dans le cas d’un envoi en suivi uniquement).Le prix à payer comprend les frais de livraison et les frais de protection acheteurs  de 5% + 0.70 € qui s’appliquent pour tous paiements effectués sur Vinted.Vérifie ton adresse de livraison.Les frais de port varient de 2,80€ à 8,50€ et dépendent du poids du colis et du mode d'envoi que tu choisis.Tu peux ajouter/modifier tes modes de paiement depuis la pageMes paramètres (web) ouParamètres (appli mobile).
Réceptionne ton article
Article acheté ! Tu n'as plus qu'à attendre de le recevoir.Le vendeur a 5 jours ouvrés pour expédier son colis via La Poste ou Mondial Relay (selon le mode de livraison que tu as choisi).Dès que le colis a été scanné par le système d'envoi, tu peux suivreson acheminement directement sur Vinted, depuis ta conversation avec le vendeur.Il faut généralement compter 2 à 5 jours ouvrés pour recevoir ton colis.Article livré ! Indique-nous que tu l'asBien reçu.
Quand le colis est indiqué comme livré sur Vinted,tu as deux possibilités :
Clique surTout est ok si l'article est conforme.Clique surJ'ai un problème pour suspendre la transaction et nous contacter. Ce bouton est accessible après avoir cliqué sur le boutonBien Reçu .
Sans action de ta part dans un délai de 2 jours, la transaction est automatiquement validée et une évaluation est laissée sur le profil du vendeur.
Il est important de maintenir un climat de confiance au sein de la communauté Vinted.
Infos utiles
Vinted terembourse intégralement (prix de l'article + frais de port initiaux) si l'article est arrivé endommagé ou est non conforme à sa description.Confirme ton adresse mail sur Vinted, ainsi tu recevras bien tous les mails concernant tes commandes.Si tu possèdes un bon d'achat en cours de validité, il est automatiquement pris en compte lors de ton achat.";Comment ça marche Acheter sur Vinted : toutes les étapes
Comment ça marche Vendre sur Vinted, c'est gratuit ?;"Vendre sur Vinted, c'est gratuit ?
Il n'y a pas de frais quand tu ajoutes et vends un article sur Vinted : mettre en ligne des articles et les vendre est donc gratuit. Cela signifie que tu reçois directement dans tonporte-monnaie le montant que tu as fixé pour ton article.
Commence à vendre !";Comment ça marche Vendre sur Vinted, c'est gratuit ?
Comment ça marche Comment partager mon retour d’expérience sur Vinted ?;"Comment partager mon retour d’expérience sur Vinted ?
Nous aimerions en savoir plus sur les choses que tu aimes chez Vinted et sur ce que tu aimerais améliorer. Tes retours d'expérience nous aident à faire les améliorations dont nos membres ont le plus besoin.
Si tu as une suggestion d’amélioration pour faire de Vinted une meilleure plateforme ou si tu veux partager ton avis sur une de nos fonctionnalités, partage ton retour d’expériencesur ce formulaire .
Toutefois, notre équipe ne répondra pas directement à ta suggestion.
Si tu vois que quelque chose ne fonctionne pas correctement, tu peux nous le faire savoirici .
Si tu as besoin d’aide pour résoudre un problème spécifique, tu peux trouver les réponses à tes questions ou contacter notre équipe sur notre Centre d’Aide.";Comment ça marche Comment partager mon retour d’expérience sur Vinted ?
Comment ça marche Comment utiliser le Centre d'aide ?;"Comment utiliser le Centre d'aide ?
Sur notre Centre d’aide, tu trouveras les réponses à toutes tes questions. En attendant que notre équipe support te réponde, tu trouveras tout ce que tu as besoin de savoir ici, à portée de clic.Comment obtenir une réponse à ta question ? Cela dépend du type de question que tu te poses...Si ta question ne porte PAS une de tes transactionsNous te conseillons denaviguer dans les rubriques du Centre d’aide : Vendre, Acheter, Envoi… Tu verras, ces rubriques sont conçues pour t’aider à affiner ta recherche : très vite, tu vas tomber sur la question que tu te poses, et trouver dans la réponse toutes les informations qui te manquent.Tu peux aussiutiliser notre barre de recherche : tape un mot-clé (ou plusieurs) et choisis parmi les questions qui s’affichent celle qui se rapproche le plus de la tienne.Si ta question porte sur une de tes transactions en particulierIl est très important que tu nous contactesdirectement depuis la transaction avec laquelle tu rencontres une difficulté.Deux options s’offrent à toi :Tu peux accéder à la commande en questionvia ta boîte de réception . Ouvre d’abord le message avec le membre concerné (Attention ! Clique bien sur le corps du message et non pas sur le nom du membre sinon c’est son profil que tu ouvriras), puis clique sur le symbole“i” en haut à droite, et enfin surJ’ai besoin d’aide.Tu peux aussi te rendre sur le Centre d’aide et sélectionner la commande en question dans la liste de tes transactions. Celle-ci est située entre la barre de recherche et la liste des rubriques d’aide : Pourquoi est-ce important de nous contacter depuis la transaction-même ?Cela nous permet de répondre plus efficacement à ta question.Dans certains cas, nous te dirigerons vers des pages d’aide adaptées à ta situation : ce ne seront bien sûr pas les mêmes si tu es vendeur ou acheteur, si ta commande a déjà été envoyée ou pas encore, et c’est la raison pour laquelle nous devons en savoir le maximum sur la transaction qui te pose problème.Dans d’autres cas, tu auras la possibilité de contacter notre équipe support. En le faisant depuis la transaction-même, toutes les informations essentielles au traitement de ta question seront automatiquement transmises à notre équipe avec ton message. Cela nous permettra de mieux te répondre.Attention à ne pas te tromper de transaction , car sinon, les informations que recevra notre équipe seront erronées, ce qui pourrait créer des confusions et allonger le délai de résolution du problème.";Comment ça marche Comment utiliser le Centre d'aide ?
Vendre Vendre sur Vinted Ajouter un article étape par étape;"Ajouter un article étape par étape
Voici comment mettre un article en ligne sur Vinted:
Ajoute 1 à 20photosde bonne qualitéAjoute un titre etdécris ton articleen détailsChoisislacatégorie à laquelle appartient ton article.Selon cela, tu devras spécifier certains des détails suivants :Sa marqueSa conditionSa tailleSon colorisSa matière (de quoi est composé l’article ?)Son ISBN, s’il s’agit d’un livre (numéro international normalisé du livre)Fixe unprix attractifDéfinie si tu souhaites ou non échanger l’articleSélectionne lataille du colis.
Suis ces 6 étapes, et voilà ! -Mets un article en ligne dés maintenantet fais le découvrir aux autres membres de Vinted.
Bon à savoir:
Chaque livre possède son ISBN, un ensemble de 10 ou 13 chiffres, trouvable au-dessus du code-barres du livre. Le code-barres se trouve le plus souvent sur la quatrième de couverture ou sur une des dernières pages du livre.";Vendre Vendre sur Vinted
Vendre Vendre sur Vinted Vendre, étape par étape;"Vendre, étape par étape
Vendre un article, c’est simple et gratuit ! Voilà comment faire :
Mettre en ligne un article.
Ajoute debelles photos de l’article, écris unedescription détaillée,fixe le prix de ton article, choisis unetaille pour le colis .La mise en ligne d’un article est gratuite.Mettre en ligne plus d’un article aide à vendre plus vite.
Configure ton profil.
Paramètre tonporte-monnaie Vinted et faisvérifier ton compte .Sélectionne le transport et les modes de paiement dans tes paramètres. Tu peux également faire une promotion sur ton catalogue.En ajoutant unedescription et une photo sur ton profil , tu renforceras la confiance des autres membres.
Attends les acheteurs.
Sois prêt à répondre aux questions des acheteurs.Clique sur le boutonFaire une offre si tu veux proposer un meilleur prix.Tu seras notifié durant tout le processus d’achat de ton acheteur.
Article vendu : il est temps de l’envoyer.
Emballe ton article (une touche personnelle est toujours appréciée)Envoie l’article avec le mode de livraison choisi par l’acheteur.Suis les instructions de livraison, mais veille bien à envoyer l’article dans les 5 jours après l’achat.En envoyant l’article rapidement, tu ne risques pas de voir ta commande être automatiquement annulée et remboursée.Si l’acheteur a choisi un mode de livraison avec suivi, vous pouvez, ton acheteur et toi, suivre la livraison de l’article au sein même de l’application Vinted.
Reçu ! Laisse une évaluation et reçois ton paiement.
Dès que l’acheteur clique surTout est ok, le statut de ton paiement passe automatiquement àEn cours dans ton porte-monnaie Vinted.Les transferts d’argent peuvent mettre jusqu’à 4 jours ouvrés pour apparaître dans ton compte bancaire (cela peut dépendre du mode/transfert bancaire utilisé).Tu peux maintenant laisser une évaluation pour ton acheteur et dire aux autres membres ce que tu penses.";Vendre Vendre sur Vinted
Vendre Vendre sur Vinted Vendre sur Vinted, c'est gratuit ?;"Vendre sur Vinted, c'est gratuit ?
Il n'y a pas de frais quand tu ajoutes et vends un article sur Vinted : mettre en ligne des articles et les vendre est donc gratuit. Cela signifie que tu reçois directement dans tonporte-monnaie le montant que tu as fixé pour ton article.
Commence à vendre !";Vendre Vendre sur Vinted
Vendre Vendre sur Vinted Qu'est-ce que je peux vendre sur Vinted ?;"Qu'est-ce que je peux vendre sur Vinted ?
Voici les articles que tu peux vendre sur Vinted :
Vêtements pour femme, homme et enfant, des chaussures et accessoiresJouets pour enfants, meubles et articles de puéricultureProduits cosmétiques, parfums et produits de beauté neufsAccessoires de beautéAccessoires technologiques tels que les casques audio, écouteurs, montres connectées, étuis pour téléphones et autres articles similairesObjets pour la maison, tels que les bougies, encadrements, coussins décoratifs, textile de table, plaidsLivres pour adultes, enfants et adolescents
Ce que je ne peux pas vendre sur Vinted
Les articles suivants ne peuvent pas être vendus sur Vinted :
1. Les articles interdits ou limités par la loi :
Articles contrefaits, ou imitations d'articles de marqueÉchantillons, testeurs ou articles promotionnels reçus gratuitement, y compris les articles provenant de « Boîtes à Beauté »Médicaments, vitamines, compléments alimentairesNourriture et boissonsDrogues, produits de tabac tels que cigarettes, cigares, pipes, cigarettes électroniques, vapes, ou autres instruments et accessoires de vaporisationUniformes ou accessoires fascistes ou nazis
2. Les articles qui ne sont pas conformes aux normes d’hygiène ou qui présentent un risque pour ta santé ou ta sécurité :
Les sous-vêtements et la lingerie déjà portés, incluant les slips, les strings, les tangas, les boxers, les caleçons, les culottes, les bodies portés comme lingerie, et les ensembles de lingerie comportant un bas. Cependant, ces articles sont autorisés à la vente, s’ils sont neufs avec étiquettes. Il est alors important de montrer clairement les étiquettes du fabricant encore accrochées à ces articles sur les photos. Les soutiens-gorge, collants et maillots de bain déjà portés peuvent être vendus, à condition qu’ils soient lavés correctement avant l’envoi, et que leur état soit clairement spécifié dans l’annonceTous les produits cosmétiques, les parfums (y compris les produits de maquillage, les crèmes, les lotions, les produits capillaires) déjà utilisés ou qui ne sont pas dans leur emballage d'origine scellé. Cette restriction s’applique peu importe que le produit ait été ou non en contact direct avec le corps humain. Les produits cosmétiques même brièvement essayés sur la peau sont également considérés comme utilisésEponges, pinceaux de maquillage ou applicateurs utilisés en contact direct avec le corps humainProduits de beauté faits maisonServiettes de toilettes, toilettes, housses de couette, draps, taies d’oreiller et parures de lit déjà utilisésLentilles de contact (y compris les produits d'entretien et les étuis de lentilles de contact)Dissolvants à onglesRasoirsProduits de coloration capillaireProduits d'hygiènes feminine tels que tampons, coupes menstruelles et articles similairesPiercings de langue, sourcils, nez, lèvre déjà utilisés
3. Les articles qui ne sont pas des vêtements, qui n’ont rien à voir avec la mode, la beauté, les accessoires, les enfants, la décoration, ou qui ne correspondent tout simplement pas à la vision de Vinted :
La fourrure animale et ses produits dérivés, les articles comportant de la peau de reptile, de la carapace, ou de l’ivoire. À noter : la laine de mouton est autoriséeLes objets high-techet l’électroménagertels que les téléphones, les ordinateurs, les appareils photo, les batteries portables, les câbles, les chargeurs, leslave-linge, lave-vaisselle, fers à repasser, aspirateurs, etc. Sont autorisés les appareils de beauté et de coiffure, ainsi que les accessoires électroniques comme les casques, les montres connectées, les housses et coques pour téléphones, et objets similairesÉquipements de sport pour adultes tels que vélos, skis, snowboards,tapis de yoga, poids et articles similairesMeubles autres que pour enfants, outils de jardinage tels que les tondeuses à gazon, décoration de jardin tels que les pots de fleurs, etcMatelas et oreillers. A noter: Les coussins décoratifs sont autorisésBoîtes de conservation, ustensiles et appareils de cuisine, couteaux de cuisine, poêles, casseroles, cafetières et autres appareils de cuisineJournaux et articles de papeterie pour adultes, tels que les carnets de notes et journaux intimesCatalogues de vente et produits commandés sur demande, services professionnels ou toute autre publicité favorisant les activités commercialesPochettes de protection vides, boîtes en carton, boîtes cadeau, sacs d’emballage de magasins et boutiques, cartons de déménagementBoîtes ou lots de surprisesTableaux, dessins, photos, et autres œuvres d’art protégées par des droits d’auteursCalendriers de l’AventArticles à connotation sexuelle comme les jouets sexuels et les articles liés au fétichismeAnimaux, accessoires et vêtements pour animauxLes places de spectacle, cartes-cadeaux et bons de réduction
Tous les articles mentionnés ci-dessus, ainsi que les articles similaires qui ne sont pas inclus dans nos catégories agréées, seront supprimés ou cachés du catalogue par notre équipe. Pour plus d’informations, consulte lesRègles de notre Catalogue.
Il est important de noter que si tu utilises une fonction payante sur un article ou un dressing qui enfreint nos règles, tu ne seras pas remboursé du coût de la fonction lorsque ton article ou ton dressing seront supprimés ou cachés. Le terme « fonction payante » comprend les « Boosts » et les « Dressing en Vitrine ».";Vendre Vendre sur Vinted
Vendre Vendre sur Vinted Comment échanger un article;"Comment échanger un article
Échanger des articles sur Vinted, c'est super simple ! Notre plateforme sécurisée te permet d'échanger tes articles avec ceux d'autres membres, en effectuant deux transactions d'une même valeur (les deux paiements s'annulent).
Pour sécuriser tes échanges, voici les étapes à suivre :
Contacte l'autre membre pour te mettre d'accord sur les articles que vous souhaitez échanger. Pour cela, clique surEnvoyer un message depuis l'un de ses articles.Cliquez ensuite sur le boutonFaire une offre et fixez le même prix pour vos articles respectifs. Cette somme sera votre garantie (votre  « swapsurance » !) en cas de problème.Le prix fixé doit être cohérent avec la valeur de l'article.Chacun·e de vous pourra ensuite cliquer surAcheter et payer le prix fixé.Cliquez surExpédier et procédez à l'envoi de vos articles.Dès que vous aurez reçu vos colis et cliqué surTout est ok, vous recevrez chacun·e la même somme (moinsla commission Vinted ).
À noter :
Si tu fixes le prix à 1€ pour des articles de valeur et qu'ils se perdent, le remboursement possible ne sera que de 1€.Vinted ne garantit pas la sécurité des échanges réalisés en dehors de sa plateforme sécurisée et ne pourra procéder à aucun remboursement dans ce cas.";Vendre Vendre sur Vinted
